x,y
1,-175.04030170115132
2,823.104138563636
3,-245.66278052610545
4,-337.5387075084511
5,-385.29808173145994
6,-343.72137773316433
7,-332.02886554073103
8,-296.4530290619976
9,-252.5207650947261
10,-258.19978665200733
11,-263.51491943572
12,-304.21091509575314
13,-352.9804591337706
14,-333.90619588607456
15,-292.95338490617866
16,-244.5468652890385
17,-252.45006746835017
18,-263.69673414422556
19,-238.62863769373894
20,-243.09127148039417
21,-249.2245396375893
22,-255.6240931062799
23,-253.48973830377267
24,-253.32829730276092
25,-234.2479694239723
26,-254.28024576879676
27,-267.1560601053657
28,-270.4025375623989
29,-230.96193238955908
30,-162.18755026529607
31,-157.6903611732432
32,-195.86945061022624
33,-149.74647342358207
34,-157.3876407640054
35,-163.38632740733922
36,-175.54141852905323
37,-166.93781454037222
38,-175.25029546659943
39,-183.73220345351743
40,-193.82813462733253
41,-234.14699583205962
42,-169.53841287633864
43,-176.8547591901459
44,-160.21904593500506
45,-157.1829091005485
46,-155.55162332365202
47,-165.00754313086662
48,-156.9836054875648
49,-141.0691382680098
50,-147.0532513889776
51,-170.44323729272654
52,-164.75835894208035
53,-157.3769958365116
54,-163.74397548496188
55,-163.37043367215688
56,-219.31490299589427
57,-153.8202189900622
58,-170.87318153518981
59,-210.89121239454101
60,-173.90837469768059
61,-163.4126937572941
62,-146.1438728839091
63,-142.48340191544463
64,-139.26713046002772
65,-169.69287311385085
66,-172.60871539266452
67,-155.3743553056921
68,-159.77581203058674
69,-177.1111722713885
70,-174.29784683774943
71,-162.6062971986695
72,-200.7520116443862
73,-189.10735920664035
74,-166.72435626885175
75,-162.47945018173496
76,-171.2850046946486
77,-169.37933969067282
78,-161.82538547285188
79,-158.90078337409153
80,-142.12846926580815
81,-172.1970739759823
82,-181.58624284401824
83,-192.3330794421989
84,-162.4164334907193
85,-180.2520006989095
86,-188.0483366816174
87,-175.18040375498362
88,-174.48235929782712
89,865.1474473108484
90,-201.98440218131537
91,-236.3310652069046
92,-245.7689950723537
93,-162.84550897839864
94,-193.40003259255087
95,-167.86608509116078
96,-193.93650517000728
97,-148.5760709917531
98,-178.4369089001925
99,-165.64095487673907
100,-162.0939123630906
101,-155.63936075658728
102,-175.67602745685465
103,-184.940618479695
104,-184.12554076760313
105,-151.207976835312
106,-142.84161596259582
107,-160.67273417408796
108,-202.29197212591416
109,-144.61978617324573
110,-157.94919215975725
111,-167.7679258341244
112,-162.02690391842054
113,-153.0090383719549
114,-163.19027389131307
115,-172.5367470980515
116,-153.41686633988164
117,-148.33022165708317
118,-143.75216671526962
119,-168.6838814616388
120,-156.2600221186334
121,-161.7586504074097
122,-152.17526400971317
123,-157.07801889297932
124,-172.32734517805665
125,-143.1013891847737
126,-142.97616562282528
127,-163.5724678432214
128,-159.2893244497024
129,-173.05349146400383
130,-148.20736430847253
131,-165.76373768803487
132,-144.06982678990192
133,-154.9069864806913
134,-139.08299541966824
135,-177.76297119051904
136,-173.1022491798803
137,-161.349412150172
138,-177.45302642932148
139,836.4903075253864
140,-178.42650981940452
141,-139.66877015170334
142,-173.06314117777555
143,-161.76253242115962
144,-160.73227697397562
145,-178.39326055177662
146,-179.92510394848756
147,-176.2855102967134
148,-172.810595816394
149,-180.06858843501882
150,-160.91394821103574
151,-159.2894013162611
152,-174.48288545752078
153,-140.51527325620086
154,-156.10497363197408
155,-164.643593581654
156,-158.17572481329316
157,-161.06542801621535
158,-166.83474662762498
159,-146.04450353134712
160,-197.59484806321024
161,-176.8851104045571
162,-166.51837805479164
163,-182.62056275120614
164,-188.0581085678159
165,-167.04197064830933
166,-145.8669898782804
167,-180.98100795465322
168,-156.86168371539569
169,-171.96869851401917
170,-173.1960474169286
171,-159.8755392384008
172,-177.49600292242616
173,-187.7946846742796
174,-178.4891190182602
175,-166.90156789726916
176,-179.52454989810053
177,-191.21985586550514
178,-160.45441013188034
179,-156.62485853039402
180,-162.42602324788086
181,-165.81001186534436
182,-145.78408966285633
183,-172.45878445853558
184,-165.19988885079002
185,-151.56350176879468
186,-164.97175174261073
187,-152.35328967751832
