x,y
1,67.77613082726013
2,-287.64912634273844
3,-228.00014663167843
4,-269.22706956942494
5,101.08154728909459
6,-326.30245845366596
7,-342.33163388533296
8,-383.240716609932
9,-367.5769433210561
10,-402.77148187067365
11,105.6469145636774
12,-443.870762622819
13,106.39233710654051
14,-414.7133390467243
15,98.16144368075093
16,108.70832596092467
17,-416.9211336596615
18,111.69399425053057
19,-428.54336459277425
20,139.41605913596842
21,93.65181473132145
22,-404.4818036249153
23,-410.62141290939314
24,139.12870204546527
25,-398.85656160617117
26,123.5546635093211
27,-296.11257139153884
28,-334.56301408454027
29,-216.6111573078017
30,-115.15879503619144
31,53.30317500649957
32,-35.95019685279754
33,-54.47103178550337
34,120.90203031234586
35,52.12697720527437
36,-21.087954207087037
37,169.73381802322754
38,238.01672545790984
39,198.10256803365962
40,177.34798464291947
41,245.73890627830372
42,157.69296205329084
43,167.6575333622904
44,229.56074319837523
45,170.0699783197064
46,149.74623291296854
47,167.5607272333035
48,139.9273836318142
49,234.54025679397057
50,210.64512731071943
51,200.83563385648998
52,236.07296595119402
53,194.6508396411246
54,216.44640521680196
55,152.84521119749326
56,199.27878462451542
57,229.86683586770852
58,245.93330550095789
59,211.29919252462764
60,108.04302726700116
61,235.15400271658734
62,298.8101766134163
63,196.7964109154006
64,214.94617172484416
65,206.38764187615027
66,175.0875962662521
67,186.88262395740992
68,281.676539851611
69,131.2190725264323
70,222.69815780009532
71,287.82010374852626
72,240.11961508822714
73,257.90556787608176
74,193.1919995206066
75,279.5821491755198
76,149.49954851541736
77,206.35950199274586
78,226.70048141783116
79,147.50741384470712
80,140.07890829558266
81,149.03351152049763
82,264.20352987007357
83,103.3113750074002
84,151.25660072249488
85,252.6836946263768
86,246.19903566705312
87,259.05827224785014
88,264.31243262283687
89,125.33179862223757
90,302.2230586210792
91,325.861724381674
92,128.5790741029594
93,237.6431009752593
94,195.40221626882212
95,319.9608863015668
96,112.66980649008498
97,207.58619550629032
98,355.31134647880776
99,234.40987392654705
100,105.7251963494709
101,399.7408788073715
102,215.32067099421246
103,222.09985151745695
104,254.71287865584233
105,145.41701730139303
106,318.69088029568695
107,251.1186336397944
108,411.11434179473565
109,117.94001228315014
110,371.7770774120258
111,417.32414371120115
