x,y
1,-124
2,-47
3,-25
4,-18
5,-41
6,-48
7,-28
8,95
9,-29
10,-24
11,-23
12,-28
13,100
14,100
15,-109
16,89
17,98
18,-83
19,-219
20,100
21,100
22,100
23,100
24,100
25,84
26,100
27,-35
28,99
29,100
30,100
31,94
32,-36
33,97
34,99
35,100
36,100
37,100
38,-42
39,100
40,100
41,100
42,-24
43,98
44,100
45,100
46,100
47,-239
48,98
49,95
50,100
51,100
52,-254
53,100
54,100
55,-250
56,100
57,-231
58,-265
59,-237
60,-240
61,-244
62,-237
63,-249
64,100
65,-241
66,100
67,-265
68,-283
69,-243
70,-235
71,-236
72,-219
73,-217
74,-218
75,-245
76,-212
77,100
78,-247
79,96
80,-236
81,100
82,89
83,92
84,-206
85,-218
86,90
87,-238
88,100
89,12
90,100
91,-26
92,97
93,96
94,-203
95,-246
96,-253
97,98
98,100
99,-207
100,-217
101,99
102,94
103,-204
104,-233
105,-218
106,-229
107,97
108,72
109,-224
110,-194
111,74
112,88
113,-203
114,100
115,67
116,-202
117,-255
118,97
119,94
120,97
121,-193
122,-194
123,100
124,94
125,-197
126,100
127,96
128,-210
129,-217
130,100
131,91
132,-249
133,-201
134,100
135,-177
136,-195
137,100
138,99
139,-231
140,-232
141,-207
142,100
143,-190
144,-217
145,-204
146,-193
147,-184
148,-183
149,-189
150,98
151,100
152,97
153,-221
154,-186
155,-179
156,-207
157,-200
158,-184
159,-220
160,100
161,-207
162,96
163,-224
164,-218
165,44
166,-201
167,77
168,98
169,-193
170,-220
171,-202
172,-194
173,-213
174,-214
175,-161
176,-213
177,-225
178,-189
179,-208
180,-194
181,-202
182,-216
183,-210
184,-173
185,-231
186,-214
187,-209
188,-205
189,-200
190,-206
191,-208
192,81
193,97
194,-190
195,100
196,97
197,100
198,98
199,-217
200,88
201,100
202,100
203,100
204,97
205,96
206,100
207,100
208,85
209,100
210,99
211,98
212,100
213,100
214,100
215,97
216,99
217,88
218,97
219,100
220,98
221,95
222,95
223,100
224,99
225,99
226,99
227,99
228,100
229,81
230,-33
231,-225
232,-204
233,-206
234,-219
235,-197
236,-217
237,-201
238,-35
239,98
240,91
241,93
242,97
243,100
244,99
245,92
246,92
247,100
248,100
249,81
250,37
251,100
252,100
253,99
254,96
255,100
256,93
257,100
258,88
259,100
260,87
261,98
262,100
263,53
264,89
265,68
266,99
267,96
268,90
269,100
270,88
271,95
272,100
273,100
274,84
275,100
276,92
277,99
278,82
279,100
280,97
281,53
282,87
283,100
284,95
285,99
286,93
287,32
288,96
289,-214
290,84
291,-60
292,89
293,85
294,100
295,100
296,82
297,100
298,100
299,100
300,100
301,94
302,100
303,85
304,100
305,65
306,86
307,100
308,100
309,87
310,100
311,97
312,100
313,48
314,100
315,100
316,97
317,98
318,82
319,98
320,100
321,95
322,94
323,100
324,99
325,94
326,100
327,100
328,97
329,98
330,82
331,100
332,94
333,85
334,92
335,92
336,78
337,100
338,100
339,100
340,97
341,100
342,82
343,100
344,100
345,100
346,98
347,92
348,100
349,100
350,76
351,90
352,84
353,100
354,95
355,97
356,96
357,96
358,60
359,100
360,80
361,100
362,96
363,98
364,77
365,100
366,100
367,100
368,100
369,100
370,100
371,92
372,96
373,98
374,71
375,99
376,97
377,75
378,73
379,97
380,90
381,100
382,96
383,100
384,100
385,100
386,100
387,100
388,97
389,86
390,100
391,99
392,100
393,99
394,100
395,96
396,100
397,99
398,92
399,100
400,99
401,99
402,100
403,97
404,99
405,71
406,100
407,80
408,100
409,75
410,100
411,93
412,89
413,96
414,93
415,99
416,100
417,100
418,100
419,92
420,100
421,-33
422,18
423,97
424,100
425,96
426,90
427,100
428,98
429,100
430,100
431,92
432,98
433,100
434,100
435,99
436,97
437,98
438,100
439,97
440,98
441,93
442,100
443,100
444,100
445,100
446,89
447,100
448,100
449,99
450,73
451,100
452,96
453,100
454,82
455,99
456,99
457,100
458,97
459,100
460,94
461,90
462,100
463,100
464,100
465,100
466,18
467,100
468,100
469,97
470,100
471,100
472,89
473,100
474,100
475,100
476,100
477,100
478,92
479,100
480,99
481,97
482,100
483,100
484,100
485,89
486,100
487,100
488,100
489,99
490,100
491,98
492,100
493,95
494,100
495,99
496,100
497,100
498,70
499,99
500,99
