x,y
1,-251
2,-13
3,-203
4,-218
5,-235
6,-222
7,-317
8,-215
9,-226
10,-243
11,-221
12,-206
13,-221
14,-217
15,-216
16,-206
17,-220
18,-239
19,-246
20,-210
21,-235
22,-228
23,-222
24,-188
25,-225
26,-216
27,-204
28,-227
29,-199
30,-220
31,-221
32,-224
33,-211
34,-208
35,30
36,71
37,-215
38,97
39,98
40,-175
41,97
42,99
43,100
44,100
45,97
46,100
47,100
48,100
49,100
50,91
51,100
52,100
53,100
54,-381
55,-417
56,97
57,97
58,-193
59,99
60,100
61,98
62,100
63,99
64,94
65,100
66,99
67,92
68,97
69,99
70,98
71,98
72,100
73,-203
74,-207
75,-198
76,71
77,100
78,98
79,98
80,99
81,-202
82,-185
83,67
84,90
85,96
86,57
87,-197
88,100
89,97
90,-203
91,99
92,100
93,98
94,93
95,100
96,99
97,98
98,-323
99,-364
100,-365
101,-367
102,-367
103,-356
104,-376
105,-234
106,93
107,-182
108,-185
109,95
110,96
111,-202
112,-191
113,99
114,97
115,95
116,95
117,98
118,100
119,100
120,98
121,98
122,98
123,99
124,99
125,97
126,98
127,99
128,100
129,-192
130,-48
131,94
132,98
133,100
134,-9
135,-46
136,98
137,58
138,98
139,98
140,98
141,100
142,100
143,100
144,99
145,100
146,96
147,94
148,94
149,95
150,96
151,95
152,100
153,100
154,95
155,100
156,100
157,98
158,97
159,99
160,-199
161,96
162,96
163,98
164,94
165,91
166,100
167,100
168,99
169,98
170,100
171,94
172,100
173,99
174,99
175,99
176,99
177,98
178,99
179,98
180,100
181,100
182,100
183,79
184,99
185,99
186,99
187,94
188,99
189,99
190,100
191,100
192,98
193,98
194,100
195,100
196,98
197,100
198,98
199,98
200,100
201,100
202,100
203,100
204,86
205,100
206,100
207,99
208,91
209,100
210,100
211,99
212,100
213,100
214,95
215,100
216,98
217,98
218,97
219,98
220,98
221,99
222,100
223,99
224,98
225,100
226,-200
227,57
228,100
229,100
230,100
231,100
232,99
233,100
234,100
235,100
236,97
237,99
238,99
239,99
240,96
241,98
242,97
243,96
244,98
245,93
246,100
247,92
248,100
249,98
250,97
251,68
252,99
253,100
254,95
255,99
256,100
257,100
258,94
259,95
260,89
261,99
262,99
263,98
264,98
265,100
266,95
267,94
268,95
269,100
270,96
271,100
272,98
273,95
274,94
275,97
276,99
277,99
278,100
279,98
280,100
281,99
282,97
283,100
284,94
285,100
286,100
287,99
288,100
289,96
290,92
291,100
292,98
293,100
294,100
295,100
296,100
297,88
298,100
299,99
300,100
301,99
302,100
303,100
304,100
305,100
306,89
307,100
308,100
309,99
310,99
311,100
312,100
313,100
314,100
315,97
316,100
317,100
318,100
319,99
320,99
321,87
322,100
323,99
324,83
325,100
326,99
327,99
328,100
329,100
330,100
331,100
332,100
333,100
334,100
335,94
336,99
337,100
338,100
339,100
340,100
341,100
342,100
343,100
344,100
345,100
346,100
347,100
348,100
349,100
350,100
351,78
352,100
353,90
354,100
355,100
356,97
357,100
358,100
359,100
360,100
361,100
362,98
363,98
364,99
365,100
366,99
367,100
368,100
369,100
370,100
371,100
372,100
373,100
374,100
375,100
376,100
377,100
378,100
379,100
380,100
381,100
382,99
383,100
384,100
385,100
386,100
387,100
388,98
389,99
390,100
391,100
392,100
393,99
394,99
395,100
396,100
397,100
398,100
399,100
400,100
401,100
402,99
403,98
404,94
405,99
406,100
407,100
408,100
409,99
410,99
411,100
412,100
413,100
414,100
415,100
416,100
417,83
418,100
419,100
420,99
421,100
422,100
423,99
424,100
425,97
426,96
427,98
428,99
429,97
430,99
431,88
432,99
433,97
434,98
435,99
436,85
437,98
438,98
439,94
440,100
441,98
442,97
443,97
444,99
445,99
446,97
447,99
448,97
449,98
450,98
451,100
452,97
453,99
454,98
455,97
456,96
457,98
458,96
459,96
460,97
461,98
462,98
463,97
464,97
465,96
466,96
467,94
468,98
469,99
470,100
471,100
472,100
473,100
474,45
475,95
476,99
477,99
478,98
479,94
480,97
481,98
482,97
483,98
484,97
485,94
486,100
487,98
488,93
489,99
490,100
491,98
492,96
493,99
494,89
495,99
496,97
497,99
498,98
499,98
500,96
501,93
502,96
503,100
504,97
505,100
506,100
507,99
508,100
509,100
510,98
511,96
512,99
513,99
514,97
515,100
516,99
517,99
518,100
519,100
520,99
521,93
522,99
523,99
524,99
525,100
526,100
527,97
528,100
529,96
530,99
531,100
532,80
533,100
534,99
535,99
536,100
537,99
538,99
539,99
540,100
541,99
542,100
543,96
544,100
545,97
546,100
547,97
548,100
549,100
550,97
551,100
552,100
553,100
554,99
555,100
556,99
557,100
558,99
559,97
560,100
561,98
562,97
563,97
564,98
565,98
566,94
567,97
568,100
569,97
570,98
571,100
572,98
573,89
574,98
575,98
576,96
577,99
578,95
579,100
580,92
581,95
582,100
583,100
584,99
585,100
586,100
587,100
588,99
589,100
590,99
591,99
592,97
593,97
594,99
595,98
596,100
597,80
598,96
599,98
600,98
601,100
602,100
603,98
604,100
605,96
606,98
607,99
608,94
609,95
610,95
611,92
612,99
613,98
614,98
615,91
616,94
617,98
618,99
619,95
620,98
621,99
622,100
623,100
624,98
625,97
626,100
627,96
628,97
629,92
630,95
631,87
632,82
633,97
634,99
635,100
636,95
637,93
638,96
639,100
640,98
641,99
642,100
643,98
644,98
645,100
646,97
647,100
648,99
649,98
650,99
651,97
652,98
653,96
654,98
655,93
656,97
657,100
658,100
659,95
660,95
661,98
662,98
663,99
664,99
665,98
666,97
667,100
668,96
669,97
670,99
671,99
672,98
673,99
674,98
675,99
676,97
677,100
678,99
679,100
680,100
681,98
682,100
683,99
684,99
685,99
686,96
687,100
688,99
689,98
690,99
691,-51
692,99
693,96
694,100
695,98
696,100
697,97
698,98
699,100
700,99
701,97
702,96
703,99
704,92
705,98
706,100
707,98
708,94
709,96
710,90
711,97
712,100
713,-18
714,94
715,96
716,99
717,99
718,97
719,98
720,96
721,98
722,97
723,94
724,97
725,98
726,96
727,97
728,100
729,99
730,99
731,98
732,93
733,91
734,98
735,97
736,99
737,95
738,98
739,100
740,99
741,99
742,90
743,96
744,91
745,98
746,97
747,97
748,100
749,98
750,96
751,97
752,99
753,95
754,96
755,99
756,99
757,99
758,100
759,93
760,94
761,98
762,99
763,99
764,95
765,83
766,94
767,97
768,94
769,95
770,98
771,95
772,94
773,96
774,92
775,98
776,95
777,98
778,95
779,94
780,99
781,-32
782,87
783,95
784,91
785,96
786,96
787,96
788,95
789,93
790,89
791,85
792,96
793,89
794,75
795,98
796,98
797,96
798,92
799,95
800,99
801,90
802,95
803,96
804,93
805,89
806,96
807,98
808,92
809,94
810,95
811,91
812,98
813,77
814,98
815,95
816,83
817,99
818,96
819,90
820,48
821,97
822,93
823,89
824,95
825,98
826,95
827,97
828,36
829,100
830,97
831,97
832,99
833,96
834,100
835,99
836,100
837,100
838,100
839,99
840,99
841,98
842,100
843,99
844,96
845,98
846,98
847,99
848,95
849,98
850,100
851,99
852,100
853,100
854,98
855,92
856,97
857,99
858,100
859,100
860,100
861,97
862,96
863,97
864,99
865,100
866,98
867,100
868,100
869,100
870,98
871,100
872,100
873,100
874,100
875,94
876,100
877,100
878,97
879,100
880,100
881,97
882,100
883,100
884,99
885,99
886,100
887,100
888,96
889,99
890,99
891,99
892,100
893,95
894,99
895,100
896,100
897,100
898,99
899,97
900,100
901,98
902,96
903,93
904,96
905,96
906,97
907,99
908,100
909,98
910,93
911,99
912,94
913,99
914,62
915,99
916,94
917,95
918,93
919,99
920,99
921,99
922,97
923,100
924,98
925,100
926,100
927,100
928,99
929,98
930,92
931,100
932,96
933,99
934,97
935,100
936,51
937,98
938,97
939,100
940,99
941,93
942,100
943,96
944,98
945,97
946,100
947,100
948,99
949,99
950,100
951,98
952,99
953,100
954,99
955,100
956,98
957,99
958,99
959,100
960,100
961,99
962,100
963,89
964,96
965,98
966,98
967,92
968,93
969,94
970,97
971,95
972,93
973,97
974,97
975,81
976,95
977,100
978,95
979,98
980,100
981,98
982,99
983,97
984,98
985,98
986,59
987,99
988,100
989,99
990,97
991,99
992,99
993,98
994,69
995,89
996,100
997,96
998,98
999,100
1000,97
