x,y
146,-4.143175748145606
147,-4.609154839651963
148,-4.600354631962633
149,-4.642582376546082
150,-4.376929875832285
151,-4.972930619914854
152,-4.280509534260682
153,-3.5435220312178046
154,-4.596486859172981
155,-4.819960863475064
156,-4.365919504570922
157,-4.454838070092743
158,-4.724468563556016
159,-4.5080664434380475
160,-4.14009577237506
161,-4.792961481543443
162,-4.537473980370196
163,-4.595893489556579
164,-5.1378812184179345
165,-4.320949940775754
166,-4.4128769681748246
167,-4.2204894676283695
168,-4.75057981347174
169,-4.716816421056058
170,-4.735125137260921
171,-4.246544219444294
172,-4.983774448942272
173,-4.730476189327491
174,-4.388036324169075
175,-4.3372758503369475
176,-4.346065640529932
177,-4.505895060842009
178,-4.898718982797311
179,-4.17494631861803
180,-4.532902405491952
181,-4.528852939623291
182,-4.331561577526952
183,-4.6198988308664495
184,-4.638661131120156
185,-4.951413797908149
186,-4.455237328924584
187,-4.418457673129558
188,-4.4225694542081095
189,-5.224538487144278
190,-5.024822524797431
191,-4.161927358260569
192,-4.985129763860216
193,-4.520801434805783
194,-4.5833611612926815
195,-4.769436783398185
196,-4.863303445612683
197,-4.53509636494285
198,-4.742168876745299
199,-4.365161812261588
200,-4.508179614684464
201,-4.1275735992791125
202,-4.046598835866981
203,-4.387457033773982
204,-4.618770149552408
205,-4.501922493555828
206,-4.176929192181197
207,-4.309755852024118
208,-4.4507186941933945
209,-4.14388962454029
210,-4.776237529884067
211,-4.364896483833913
212,-4.502077368391961
213,-4.37324559080195
214,-4.548943224354063
215,-4.528399753216243
216,-4.577133332727624
217,-4.693230739113744
218,-4.597490291616448
219,-4.511860597028154
220,-4.2103309635906445
221,-4.914388501266648
222,-4.5213251185511325
223,-4.627388254406915
224,-4.9038594994327
225,-4.834463604919414
226,-4.6322151429456255
227,-4.587696042959446
228,-4.534441672224349
229,-4.416173597954914
230,-5.083425881183685
231,-5.353325743764315
232,-4.622687839607235
233,-4.2590501997644035
234,-4.806085316184999
235,-4.466240409303982
236,-4.631127082285522
237,-4.432582749742895
238,-4.332578729792514
239,-4.100502030945963
240,-4.058859029120312
241,-4.340910391475605
242,-4.594339517042177
243,-4.519505728945057
244,-4.1259139592869145
245,-4.711258333187779
246,-4.171117446285093
247,-4.6317870876748515
248,-4.313048287897827
249,-4.453568090665791
250,-4.343405577774908
251,-4.381143660278247
252,-4.464052739204884
253,-4.906384337868546
254,-4.6412309217466055
255,-4.728130255299383
256,-4.592935523389495
257,-4.380265233526895
258,-4.918849077556212
259,-4.132371962990369
260,-4.721721450294415
261,-4.094699246024135
262,-4.268111879636221
263,-4.621544718974084
264,-4.781152914757812
265,-4.811380536246426
266,-4.469988363495582
267,-4.253534103498267
268,-4.367452429740149
269,-4.764784326496726
270,-4.922083477187172
271,-4.36758896726112
272,-4.438287388008934
273,-4.463035007524363
274,-4.1420545112069975
275,-4.776572400798868
276,-4.8461335644228605
277,-4.4684428630188355
278,-4.578273857014171
279,-4.588203806171884
280,-4.525682035022942
281,-4.334923803846778
282,-4.236912988835349
283,-4.767207680152516
284,-4.276711516257422
285,-4.777734239084779
286,-4.181754971421761
287,-4.238238698258495
288,-4.711702829790802
289,-4.373274870949535
290,-4.54477607904352
291,-4.217578005190811
292,-4.973265366424079
293,-4.438856669361378
294,-4.618864740660386
295,-4.660181146493581
296,-4.347965229410238
297,-4.604453908252103
298,-4.638328209148814
299,-4.38252590815104
300,-4.3722156746088565
301,-4.160025839930839
302,-4.434556559486675
