x,y
1,-167.61384059715053
2,-167.639347920202
3,-170.01080947630714
4,-160.14770906234122
5,-171.3788541008383
6,-167.92164968722398
7,-162.86848371739902
8,-165.15731544751554
9,-161.82510405279166
10,-168.40350906430405
11,-165.5690692425895
12,-170.47978991835643
13,-169.21166687076249
14,-170.08812847535765
15,-162.06372565610297
16,-163.10304041181527
17,-167.28530164906002
18,-167.3528662000878
19,-168.42157903762973
20,-164.91126252056253
21,-171.024827304693
22,962.6904766668582
23,-157.1678240424934
24,-168.436645761063
25,-169.73415572296938
26,-163.53094478353296
27,-167.1908301627239
28,-162.33457132783414
29,-164.8301306487941
30,-157.5115380872891
31,-166.68945434734343
32,-175.3041736697869
33,-164.90549354225658
34,-173.91238351171756
35,-167.85022217823845
36,-162.3904060270643
37,-155.42258219837828
38,-172.74409444521925
39,-169.4380825973951
40,-157.64357255750872
41,-157.54317658994245
42,-165.5417470889939
43,-167.50359298041093
44,-166.0829290790328
45,-167.33692239523478
46,-165.6231754671939
47,-163.18439995207885
48,-165.63133417189434
49,-166.72317168756848
50,-163.34466942764485
51,-166.2070938247482
52,-170.07646119423913
53,-160.84244379876202
54,-169.93746808713982
55,-172.20738109941703
56,-166.63976337397068
57,-171.34032094391992
58,-166.96021176505278
59,-168.5714649104029
60,-171.84613223455688
61,-173.61515769355327
62,-160.7169450164755
63,-165.16384967881544
64,-164.6577875637143
65,-168.53661319670866
66,-170.03751446719977
67,-163.88874261043122
68,-167.3311610179752
69,-155.46675608413477
70,-163.08993180656003
71,-169.56010548640285
72,-168.64931267237066
73,-167.10569930442335
74,-174.0455788385746
75,-164.63958888726484
76,-167.79529634750082
77,-165.0851849161247
78,-163.932092661621
79,-169.8025402136607
80,-168.31243095810368
81,-161.8319539039793
82,-167.03925048059173
83,992.8965971191102
84,-166.15192278065075
85,-160.50754274261394
86,-165.1608299757538
87,-155.69854494428122
88,-173.61956774250044
89,-169.5651256190048
90,-166.73990882105352
91,-174.61795426500302
92,-165.76571842100628
93,-159.28632274075525
94,-166.30725236062858
95,-166.77901504181864
96,-170.75930026811977
97,858.1807733786019
98,-169.76738333263694
99,-172.79210669235277
100,-166.1037833158956
101,-236.59136688324566
102,-3.944095560198778
103,-347.9986248919864
104,-361.31907996850236
105,-375.38215901283513
106,-57.34213578619536
107,-159.97329275967522
