x,y
1,-9.3036377592306
2,-11.288054028191585
3,-9.474199389342203
4,-9.741330728915303
5,-10.365582882565795
6,-8.80273754566561
7,-12.240770600469181
8,-10.919210484052188
9,-12.071689774244476
10,-13.496707946452537
11,-11.561438684100978
12,95.90217170938612
13,90.23943560001534
14,88.4129837645598
15,94.61384111767902
16,-19.825183070097562
17,93.12546661082789
18,88.79567365380642
19,86.90518053005628
20,94.42568487933167
21,88.97025714940298
22,89.1049605079727
23,92.31062372377917
24,93.5976528360979
25,84.6504216157232
26,93.17566168940235
27,86.36805796684155
28,94.33120536379722
29,91.17260496514305
30,91.55413483984151
31,85.20848155526502
32,89.98951012672917
33,89.93302626074342
34,94.7790596913195
35,87.0692294470741
36,90.70196874892943
37,82.36671665557762
38,86.2930904077754
39,91.28923309395734
40,80.28668732272486
41,89.62820480682252
42,86.2046315955594
43,86.72515454106683
44,85.27420182508313
45,77.23298673150327
46,-31.98143031164028
47,72.45389593909076
48,89.98903621224429
49,78.84349809202047
50,88.56105921558164
51,86.82969714354144
52,86.69644108764359
53,82.58362879602745
54,91.73190862050028
55,87.11751076547914
56,91.10884614243045
57,91.5103127532466
58,89.42158578101723
59,92.67435284724894
60,84.96926788028881
61,89.13635787339533
62,88.95919674692256
63,89.1948131200297
64,90.23510853584689
65,94.0498407051633
66,92.23505209690774
67,93.57871562801398
68,92.32094069473033
69,88.60689803412924
70,92.15703434602784
71,90.08552600109266
72,88.49870061642204
73,91.82364795846819
74,93.33534371258429
75,91.80144843619742
76,92.82940565844197
77,92.61613092493415
78,92.18082680045164
79,89.76141934947331
80,93.92531225352093
81,90.71825876188271
82,90.10051939287884
83,90.39204391629544
84,94.06474548131621
85,92.27933002799514
86,91.84957201841041
87,90.48304750401022
88,93.91864358215122
89,88.09330991899094
90,93.50173904633073
91,93.8121687307231
92,93.25002848035244
93,93.50772212781513
94,89.98326352048396
95,93.7535742080525
96,94.416319109868
97,94.42217293598242
98,94.72066512993601
99,94.87905366547908
100,94.6442140490452
101,94.29787728921724
102,90.25922761442727
103,94.21742710364788
104,-35.90175518570937
105,93.3388793876986
106,91.9481299312292
107,81.54713027532046
108,92.33880391431578
109,77.85028817467975
110,92.57460585323763
111,92.65982418631266
112,90.96932493968205
113,92.118489452546
114,93.7067952598212
115,87.18563034259333
116,92.35242956265809
117,93.90665589777984
118,93.76830969336368
119,93.09219595632841
120,93.26097918851029
121,94.90676043959667
122,93.01288005808108
123,94.96716807442036
124,93.06910866744573
125,85.77836411801316
126,93.15379644042716
127,93.53861565004685
128,93.82278273159366
129,94.56371683497227
130,93.06403946298258
131,93.21280369713104
132,93.35246575558348
133,93.48255534097436
134,92.95578362251582
135,95.24557289087933
136,93.67458026164537
137,92.5206610397284
138,89.72794724759397
139,84.80061644097977
140,92.99411305596075
141,94.24269890757665
142,91.90955961937013
143,92.57853720367807
144,93.56739753711514
145,94.9695779137492
146,92.93473205469515
147,94.45226182604175
148,93.79756551649521
149,91.97059710308953
150,90.0999621346737
151,93.94073337406452
152,93.73100494013622
153,93.73421873356801
154,95.08507989325952
