x,y
1,-211
2,96
3,-376
4,74
5,49
6,64
7,-371
8,-333
9,-274
10,-368
11,-380
12,-390
13,-377
14,94
15,-384
16,89
17,-361
18,85
19,-396
20,-367
21,-369
22,-34
23,-340
24,-484
25,-497
26,-481
27,-484
28,-466
29,-495
30,-466
31,-447
32,-482
33,-418
34,-406
35,-405
36,-408
37,-400
38,-416
39,-408
40,-399
41,-385
42,-386
43,-414
44,-418
45,-395
46,-318
47,-163
48,-166
49,-190
50,-193
51,-198
52,-204
53,-184
54,-204
55,-177
56,-231
57,-208
58,-192
59,-176
60,-200
61,-186
62,-181
63,-184
64,-183
65,86
66,83
67,77
68,89
69,62
70,80
71,86
72,77
73,79
74,83
75,92
76,95
77,51
78,86
79,81
80,91
81,83
82,98
83,92
84,91
85,60
86,76
87,77
88,97
89,56
90,92
91,91
92,78
93,80
94,94
95,96
96,96
97,95
98,95
99,87
100,93
101,94
102,96
103,95
104,91
105,87
106,99
107,96
108,98
109,100
110,98
111,96
112,99
113,54
114,97
115,97
116,100
117,98
118,100
119,97
120,96
121,100
122,100
123,100
124,95
125,100
126,99
127,93
128,100
129,100
130,99
131,100
132,90
133,100
134,91
135,97
136,97
137,100
138,100
139,100
140,-22
141,100
142,99
143,100
144,100
145,100
146,100
147,94
148,97
149,99
150,100
151,97
152,100
153,90
154,98
155,64
156,97
157,99
158,95
159,20
160,100
161,100
162,100
163,100
164,88
165,100
166,99
167,98
168,90
169,99
170,100
171,15
172,94
173,100
174,88
175,100
176,100
177,100
178,100
179,76
180,83
181,100
182,94
183,87
184,99
185,79
186,97
187,94
188,97
189,97
190,-251
191,100
192,94
193,100
194,91
195,95
196,88
197,100
198,96
199,86
200,97
201,89
202,100
203,96
204,98
205,-191
206,100
207,100
208,95
209,94
210,-190
211,96
212,98
213,96
214,96
215,82
216,97
217,95
218,99
219,100
220,97
221,91
222,-49
223,100
224,98
225,100
226,98
227,88
228,100
229,100
230,100
231,99
232,100
233,94
234,97
235,90
236,91
237,86
238,-46
239,94
240,100
241,96
242,-182
243,100
244,96
245,-185
246,53
247,98
248,100
249,-229
250,-205
251,99
252,-182
253,93
254,100
255,97
256,98
257,95
258,100
259,92
260,100
261,94
262,98
263,-182
264,100
265,71
266,86
267,97
268,98
269,92
270,100
271,-182
272,99
273,100
274,82
275,94
276,87
277,100
278,99
279,100
280,98
281,98
282,99
283,100
284,100
285,100
286,94
287,100
288,98
289,-194
290,-211
291,100
292,89
293,85
294,100
295,100
296,89
297,93
298,98
299,87
300,99
301,100
302,97
303,99
304,98
305,95
306,94
307,100
308,95
309,99
310,99
311,93
312,99
313,96
314,99
315,97
316,99
317,96
318,98
319,97
320,89
321,21
322,100
323,100
324,99
325,100
326,87
327,98
328,100
329,99
330,96
331,100
332,84
333,91
334,100
335,99
336,99
337,100
338,100
339,100
340,97
341,100
342,97
343,98
344,100
345,100
346,100
347,100
348,100
349,98
350,100
351,98
352,100
353,-206
354,100
355,93
356,100
357,100
358,100
359,99
360,100
361,97
362,100
363,98
364,100
365,99
366,99
367,99
368,92
369,99
370,100
371,97
372,100
373,99
374,99
375,100
376,98
377,-207
378,87
379,91
380,94
381,100
382,100
383,100
384,100
385,93
386,99
387,100
388,96
389,89
390,89
391,100
392,100
393,98
394,93
395,95
396,98
397,86
398,72
399,96
400,89
401,91
402,100
403,-190
404,90
405,98
406,84
407,96
408,86
409,100
410,100
411,82
412,88
413,99
414,100
415,100
416,81
417,96
418,96
419,100
420,97
421,86
422,84
423,63
424,86
425,81
426,99
427,97
428,83
429,99
430,98
431,100
432,93
433,80
434,85
435,100
436,100
437,95
438,94
439,79
440,96
441,89
442,100
443,97
444,100
445,79
446,97
447,100
448,92
449,100
450,96
451,98
452,100
453,100
454,98
455,91
456,92
457,91
458,98
